common_name,scientific_name,include
Hudsonian Godwit,Limosa haemastica,1
Iceland Gull,Larus glaucoides,1
Killdeer,Charadrius vociferus,1
King Eider,Somateria spectabilis,0
King Rail,Rallus elegans,1
Laughing Gull,Leucophaeus atricilla,1
Least Bittern,Ixobrychus exilis,1
Least Grebe,Tachybaptus dominicus,1
Least Sandpiper,Calidris minutilla,1
Least Tern,Sternula antillarum,0
Lesser Scaup,Aythya affinis,1
Lesser Yellowlegs,Tringa flavipes,1
Limpkin,Aramus guarauna,1
Little Blue Heron,Egretta caerulea,1
Little Gull,Hydrocoloeus minutus,1
Long-billed Curlew,Numenius americanus,1
Long-billed Dowitcher,Limnodromus scolopaceus,1
Long-tailed Duck,Clangula hyemalis,1
Long-tailed Jaeger,Stercorarius longicaudus,0
Mallard,Anas platyrhynchos,1
Marbled Godwit,Limosa fedoa,1
Marsh Wren,Cistothorus palustris,1
Mew Gull,Larus canus,0
Mottled Duck,Anas fulvigula,1
Mountain Plover,Charadrius montanus,1
Nelson's Sparrow,Ammodramus nelsoni,0
Neotropic Cormorant,,1
Northern Pintail,Anas acuta,1
Northern Shoveler,Spatula clypeata,1
Pacific Golden-Plover,Pluvialis fulva,0
Pacific Loon,Gavia pacifica,1
Parasitic Jaeger,Stercorarius parasiticus,0
Pectoral Sandpiper,Calidris melanotos,1
Pied-billed Grebe,Podilymbus podiceps,1
Piping Plover,Charadrius melodus,1
Pomarine Jaeger,Stercorarius pomarinus,0
Purple Gallinule,,1
Purple Sandpiper,Calidris maritima,1
Red Knot,Calidris canutus,0
Red Phalarope,Phalaropus fulicarius,1
Red-breasted Merganser,Mergus serrator,1
Reddish Egret,,1
Red-faced Cormorant,,1
Redhead,Aythya americana,1
Red-necked Grebe,Podiceps grisegena,1
Red-necked Phalarope,Phalaropus lobatus,1
Red-throated Loon,Gavia stellata,1
Red-winged Blackbird,Agelaius phoeniceus,1
Ring-billed Gull,Larus delawarensis,1
Ring-necked Duck,Aythya collaris,1
Rock Sandpiper,Calidris ptilocnemis,1
Roseate Spoonbill,,1
Ross's Goose,Anser rossii,1
Royal Tern,,1
Ruddy Duck,Oxyura jamaicensis,1
Ruddy Turnstone,Arenaria interpres,1
Ruff,Calidris pugnax,0
Sabine's Gull,Xema sabini,1
Sanderling,Calidris alba,1
Sandhill Crane,Antigone canadensis,1
Sandwich Tern,,1
Sedge Wren,Cistothorus platensis,0
Semipalmated Plover,Charadrius semipalmatus,0
Semipalmated Sandpiper,Calidris pusilla,1
Sharp-tailed Sandpiper,Calidris acuminata,1
Short-billed Dowitcher,Limnodromus griseus,1
Snow Goose,Anser caerulescens,1
Snowy Egret,Egretta thula,1
Snowy Plover,Charadrius nivosus,1
Solitary Sandpiper,Tringa solitaria,1
Sora,Porzana carolina,1
Spotted Sandpiper,Actitis macularius,1
Stilt Sandpiper,Calidris himantopus,1
Surf Scoter,Melanitta perspicillata,1
Surfbird,Calidris virgata,0
Swamp Sparrow,Melospiza georgiana,0
Tricolored Heron,,1
Trumpeter Swan,Cygnus buccinator,1
Tundra Swan,Cygnus columbianus,1
Upland Sandpiper,Bartramia longicauda,1
Virginia Rail,Rallus limicola,1
Wandering Tattler,Tringa incana,1
Clark's Grebe,,0
Western Grebe,Aechmophorus occidentalis,1
Western Gull,,1
Western Sandpiper,Calidris mauri,1
Whimbrel,Numenius phaeopus,0
White Ibis,,1
White-faced Ibis,Plegadis chihi,1
White-winged Scoter,Melanitta fusca,1
Whooping Crane,Grus americana,1
Willet,Tringa semipalmata,1
Wilson's Phalarope,Phalaropus tricolor,1
Wilson's Snipe,Gallinago delicata,1
Wood Duck,Aix sponsa,1
Wood Stork,,1
Yellow Rail,Coturnicops noveboracensis,1
Yellow-billed Loon,Gavia adamsii,1
Yellow-crowned Night-Heron,,1
Yellow-headed Blackbird,Xanthocephalus xanthocephalus,0
Bald Eagle,,1
Osprey,,1
